ZIPCODE,Avg Gross Income,Lat,Long,JSON-style lat/lon/money
35114,159292,33.225377,-86.86443,"33.225377, -86.86443, 159292"
35115,204907,33.114972,-86.8738,"33.114972, -86.8738, 204907"
35116,103699,33.74137,-86.78543,"33.74137, -86.78543, 103699"
35117,151572,33.665823,-86.87111,"33.665823, -86.87111, 151572"
35118,64296,33.529224,-87.01546,"33.529224, -87.01546, 64296"
35120,256121,33.668341,-86.43641,"33.668341, -86.43641, 256121"
35121,280407,33.944897,-86.45813,"33.944897, -86.45813, 280407"
35124,707804,33.317471,-86.78726,"33.317471, -86.78726, 707804"
35125,169874,33.606663,-86.28912,"33.606663, -86.28912, 169874"
35126,479390,33.728568,-86.66052,"33.728568, -86.66052, 479390"
35127,214440,33.487675,-86.97331,"33.487675, -86.97331, 214440"
35128,196607,33.561597,-86.30285,"33.561597, -86.30285, 196607"
35130,49642,33.640629,-87.11584,"33.640629, -87.11584, 49642"
35131,53255,33.721107,-86.17492,"33.721107, -86.17492, 53255"
35133,67392,33.827521,-86.60703,"33.827521, -86.60703, 67392"
35135,39127,33.614465,-86.20067,"33.614465, -86.20067, 39127"
35136,28364,32.8697,-86.2822,"32.8697, -86.2822, 28364"
35143,54587,33.080971,-86.53875,"33.080971, -86.53875, 54587"
35146,216279,33.781133,-86.45052,"33.781133, -86.45052, 216279"
35147,144924,33.397441,-86.54218,"33.397441, -86.54218, 144924"
35148,46071,33.753474,-87.04756,"33.753474, -87.04756, 46071"
35150,273020,33.185782,-86.25105,"33.185782, -86.25105, 273020"
35151,118658,33.137515,-86.33414,"33.137515, -86.33414, 118658"
35160,351335,33.415449,-86.10908,"33.415449, -86.10908, 351335"
35171,61782,32.907616,-86.71868,"32.907616, -86.71868, 61782"
35172,43806,33.823416,-86.71537,"33.823416, -86.71537, 43806"
35173,823382,33.623485,-86.58546,"33.623485, -86.58546, 823382"
35175,116155,34.426844,-86.51841,"34.426844, -86.51841, 116155"
35176,15084,33.4776,-86.5126,"33.4776, -86.5126, 15084"
35178,60826,33.414831,-86.3925,"33.414831, -86.3925, 60826"
35179,153318,34.256106,-86.92158,"34.256106, -86.92158, 153318"
35180,282233,33.82343,-86.81569,"33.82343, -86.81569, 282233"
35183,11919,33.016558,-86.33936,"33.016558, -86.33936, 11919"
35184,81859,33.118259,-87.13548,"33.118259, -87.13548, 81859"
35186,105823,33.241272,-86.50614,"33.241272, -86.50614, 105823"
35188,56621,33.195743,-87.16252,"33.195743, -87.16252, 56621"
35203,114890,33.519055,-86.8097,"33.519055, -86.8097, 114890"
35204,98968,33.519855,-86.83534,"33.519855, -86.83534, 98968"
35205,363418,33.497055,-86.8057,"33.497055, -86.8057, 363418"
35206,199062,33.568573,-86.72163,"33.568573, -86.72163, 199062"
35207,91732,33.560652,-86.81897,"33.560652, -86.81897, 91732"
35208,182975,33.494545,-86.88115,"33.494545, -86.88115, 182975"
35209,823291,33.468306,-86.80814,"33.468306, -86.80814, 823291"
35210,320844,33.546051,-86.66963,"33.546051, -86.66963, 320844"
35211,314787,33.479306,-86.85878,"33.479306, -86.85878, 314787"
35212,147270,33.542004,-86.74896,"33.542004, -86.74896, 147270"
35213,1132492,33.507637,-86.74161,"33.507637, -86.74161, 1132492"
35214,313137,33.558772,-86.89199,"33.558772, -86.89199, 313137"
35215,667584,33.636102,-86.69506,"33.636102, -86.69506, 667584"
35216,1124606,33.420558,-86.78489,"33.420558, -86.78489, 1124606"
35217,171518,33.590003,-86.76708,"33.590003, -86.76708, 171518"
35218,70935,33.506456,-86.89524,"33.506456, -86.89524, 70935"
35221,51927,33.450267,-86.8965,"33.450267, -86.8965, 51927"
35222,249161,33.524254,-86.77335,"33.524254, -86.77335, 249161"
35223,1432287,33.488355,-86.73402,"33.488355, -86.73402, 1432287"
35224,69950,33.517706,-86.93189,"33.517706, -86.93189, 69950"
35226,1220212,33.406409,-86.8295,"33.406409, -86.8295, 1220212"
35228,133919,33.454262,-86.92273,"33.454262, -86.92273, 133919"
35233,28636,33.509623,-86.7997,"33.509623, -86.7997, 28636"
35234,52573,33.538504,-86.80602,"33.538504, -86.80602, 52573"
35235,376058,33.609779,-86.65507,"33.609779, -86.65507, 376058"
35242,2574506,33.409582,-86.69684,"33.409582, -86.69684, 2574506"
35243,994196,33.437667,-86.74586,"33.437667, -86.74586, 994196"
35244,1261126,33.356981,-86.81577,"33.356981, -86.81577, 1261126"
35401,293607,33.193818,-87.56843,"33.193818, -87.56843, 293607"
35404,275481,33.217168,-87.49461,"33.217168, -87.49461, 275481"
35405,747364,33.149246,-87.52303,"33.149246, -87.52303, 747364"
35406,659269,33.271585,-87.50611,"33.271585, -87.50611, 659269"
35441,16676,32.871514,-87.73326,"32.871514, -87.73326, 16676"
35442,64000,33.095505,-88.18653,"33.095505, -88.18653, 64000"
35443,18026,32.772835,-88.0321,"32.772835, -88.0321, 18026"
35444,69905,33.276411,-87.3052,"33.276411, -87.3052, 69905"
35446,31741,33.207547,-87.75054,"33.207547, -87.75054, 31741"
35447,46680,33.254197,-88.16866,"33.254197, -88.16866, 46680"
35452,71706,33.249332,-87.67217,"33.249332, -87.67217, 71706"
35453,199722,33.170357,-87.39889,"33.170357, -87.39889, 199722"
