avgIncome,LatM,LongM,LATB,LONGB,BankCount
120671,33.825516,-86.24231,31.69,-89.14,24
165677,34.043263,-86.08904,34.76,-79.47,10
127537,34.155318,-86.13237,35.24,-87.33,14
236422,34.203621,-86.1728,37.67,-92.66,14
44179,34.921827,-85.63784,33.57,-102.36,9
66039,34.237989,-85.61277,40.96,-76.89,19
152579,34.141067,-85.60472,35.44,-86.78,10
72472,34.279268,-85.85634,40.59,-77.57,15
86621,34.297717,-86.036,40.77,-99.74,17
19840,34.359766,-85.92825,37.04,-100.93,7
50069,34.788306,-85.67642,40.15,-89.36,19
233875,34.429472,-85.71078,41.13,-77.45,12
93454,34.460537,-85.76744,37.84,-81.98,13
64022,34.457657,-85.92772,40.75,-86.35,10
20039,33.987653,-86.25523,37.12,-84.08,58
36847,34.333048,-85.55172,35.89,-106.28,6
26166,34.361787,-86.0098,43.95,-86.44,8
13715,34.431683,-86.06169,31.33,-94.72,26
344423,34.350835,-86.30475,34.63,-79.01,44
74517,34.637589,-85.73274,40.47,-90.68,21
18517,34.831242,-85.61564,38.75,-85.38,11
60987,34.179277,-86.36882,37.33,-87.5,24
28339,34.717362,-85.65353,33.27,-93.23,15
54316,34.189256,-85.76816,44.84,-74.29,16
33015,34.557735,-85.5751,34.37,-92.81,13
116549,34.500878,-85.83763,44.09,-87.67,24
38414,33.9117,-86.24408,39.42,-81.44,27
24697,34.56838,-85.79646,45.08,-87.62,27
48744,34.5852,-85.65125,40.54,-85.66,23
28440,32.439967,-86.68801,35.68,-82,5
25452,31.859531,-85.75558,40.58,-83.12,21
23188,32.65279,-86.7143,46.55,-87.39,27
43624,31.579451,-86.3188,44.45,-95.78,15
77177,31.678393,-85.82425,39.11,-93.2,15
14203,32.295289,-85.99653,32.53,-94.35,22
44571,31.843675,-85.43298,42.03,-92.91,20
18969,31.692576,-85.55787,36.34,-88.85,13
19671,32.496067,-86.33073,36.68,-79.86,28
287354,32.612619,-86.39497,40.34,-94.87,8
120217,32.697561,-86.016,43.15,-93.19,27
70656,32.538878,-86.33358,36.73,-88.64,12
